Time;Type;Volume;Symbol;Price;Time;Price;Commission;Swap;Profit
2019.10.31 11:13:56;Sell;0.1;GBPNZD;2.02018;2019.11.01 11:16:51;2.01766;;0.57;16.19
2019.10.31 23:23:07;Sell;0.2;GBPNZD;2.01653;2019.11.01 11:16:49;2.0177;;1.15;-15.03
2019.10.31 11:14:56;Sell;0.1;GBPNZD;2.01942;2019.11.01 11:16:49;2.0177;;0.57;11.05
2019.10.31 11:52:42;Sell;0.1;GBPNZD;2.0233;2019.10.31 18:55:52;2.02325;;;0.32
2019.10.29 11:25:29;Sell;0.03;EURNZD;1.74601;2019.10.31 11:20:31;1.74442;;0.43;3.06
2019.10.30 17:06:29;Buy;0.2;EURUSD;1.1118;2019.10.30 23:13:33;1.11481;;;60.2
2019.10.30 17:06:36;Buy;0.2;EURUSD;1.11181;2019.10.30 23:13:28;1.11481;;;60
2019.10.30 17:06:43;Buy;0.2;EURUSD;1.11178;2019.10.30 23:13:23;1.11481;;;60.6
2019.10.29 04:35:11;Buy;0.05;NZDCAD;0.83178;2019.10.30 17:39:19;0.83791;;0.03;23.27
2019.10.30 15:38:01;Sell;0.41;GBPCAD;1.6851;2019.10.30 16:00:08;1.68862;;;-110.15
2019.10.30 15:33:24;Sell;0.41;GBPCAD;1.68585;2019.10.30 16:00:08;1.68862;;;-86.68
2019.10.30 11:19:59;Sell;0.1;GBPCAD;1.6838;2019.10.30 14:11:42;1.68834;;;-34.69
2019.10.30 11:19:57;Sell;0.1;GBPCAD;1.6838;2019.10.30 14:11:42;1.68834;;;-34.69
2019.10.30 11:19:49;Sell;0.1;GBPCAD;1.68389;2019.10.30 14:11:42;1.68834;;;-34
2019.10.30 00:37:21;Buy;0.1;EURUSD;1.1115;2019.10.30 11:20:38;1.1118;;;3
2019.10.30 00:38:18;Buy;0.1;EURUSD;1.11149;2019.10.30 11:20:37;1.1118;;;3.1
2019.10.30 01:14:26;Sell;0.2;USDCHF;0.99443;2019.10.30 02:17:24;0.99461;;;-3.62
2019.10.30 01:14:19;Sell;0.2;USDCHF;0.99444;2019.10.30 02:17:21;0.99461;;;-3.42
2019.10.29 11:21:32;Sell;0.1;GBPNZD;2.01913;2019.10.29 12:54:20;2.0243;;;-32.8
2019.10.29 11:21:22;Sell;0.1;GBPNZD;2.01903;2019.10.29 12:54:20;2.0243;;;-33.43
2019.10.29 00:14:03;Buy;0.1;AUDUSD;0.68397;2019.10.29 04:51:10;0.68484;;;8.7
2019.10.29 00:13:15;Buy;0.1;AUDUSD;0.684;2019.10.29 04:51:08;0.68484;;;8.4
2019.10.29 00:12:46;Buy;0.1;AUDUSD;0.68399;2019.10.29 04:51:05;0.68483;;;8.4
2019.10.28 17:19:13;Sell;0.1;EURAUD;1.62344;2019.10.29 00:08:32;1.62339;;0.25;0.34
2019.10.28 17:13:32;Sell;0.05;EURAUD;1.62407;2019.10.29 00:02:34;1.62354;;0.12;1.81
2019.10.28 03:06:49;Sell;0.05;EURAUD;1.62391;2019.10.29 00:02:33;1.62354;;0.12;1.27
2019.10.28 11:41:20;Sell;0.1;GBPJPY;139.618;2019.10.28 15:30:53;139.854;;;-21.68
2019.10.28 11:17:28;Sell;0.1;GBPJPY;139.468;2019.10.28 15:30:53;139.854;;;-35.46
2019.10.28 11:17:15;Sell;0.1;GBPJPY;139.457;2019.10.28 15:30:53;139.854;;;-36.47
