Time;Type;Volume;Symbol;Price;Time;Price;Commission;Swap;Profit
2019.10.29 21:59:40;Buy;0.01;AUDCAD;0.89936;2019.10.30 21:13:38;0.90761;;-0.04;6.26
2019.10.25 03:07:25;Buy;0.03;AUDCAD;0.89078;2019.10.29 21:59:36;0.89903;;-0.26;18.9
2019.10.23 10:30:40;Buy;0.02;AUDCAD;0.89579;2019.10.29 21:59:36;0.89903;;-0.49;4.95
2019.10.21 04:22:11;Buy;0.01;AUDCAD;0.90079;2019.10.29 21:59:36;0.89903;;-0.33;-1.34
2019.10.17 10:33:35;Buy;0.01;USDCHF;0.99179;2019.10.25 19:50:59;0.99529;;-0.32;3.52
2019.10.17 16:16:21;Buy;0.01;USDCHF;0.98828;2019.10.24 18:03:11;0.99179;;-0.28;3.54
2019.10.18 19:48:29;Buy;0.01;USDCHF;0.98476;2019.10.22 11:20:12;0.98832;;-0.08;3.6
2019.10.14 14:51:43;Buy;0.02;AUDCAD;0.89227;2019.10.21 04:22:07;0.90052;;-0.57;12.56
2019.10.11 19:37:15;Buy;0.01;AUDCAD;0.89728;2019.10.21 04:22:07;0.90052;;-0.33;2.47
2019.10.11 19:37:17;Sell;0.01;AUDCAD;0.89701;2019.10.16 04:25:45;0.88876;;-0.03;6.25
2019.10.14 10:08:08;Buy;0.01;USDCHF;0.99531;2019.10.15 10:23:28;0.99883;;-0.04;3.52
2019.10.04 12:51:56;Buy;0.01;USDCHF;0.99529;2019.10.11 11:55:25;0.99885;;0.25;3.56
2019.10.08 11:54:13;Buy;0.01;USDCHF;0.99179;2019.10.09 14:40:37;0.99533;;0.05;3.56
2019.10.03 12:50:35;Buy;0.01;USDCHF;1.00115;2019.10.03 16:46:08;1.00215;;;1
2019.09.17 16:25:15;Buy;0.01;NZDCHF;0.63115;2019.10.03 14:34:55;0.62944;;0.18;-1.71
2019.09.19 10:33:04;Buy;0.01;NZDCHF;0.62706;2019.10.03 14:34:54;0.62944;;0.14;2.38
2019.10.03 09:53:02;Buy;0.01;USDCHF;1.0022;2019.10.03 12:50:32;1.00096;;;-1.24
2019.10.03 12:13:01;Buy;0.01;USDCHF;0.9987;2019.10.03 12:50:31;1.00095;;;2.25
2019.10.03 09:14:30;Buy;0.01;USDCHF;1.001;2019.10.03 09:53:01;1.00203;;;1.03
2019.10.02 15:12:33;Buy;0.01;USDCHF;1.00224;2019.10.03 09:14:28;1.00082;;0.14;-1.42
2019.10.02 17:38:24;Buy;0.01;USDCHF;0.99872;2019.10.03 09:14:26;1.00088;;0.14;2.16
2019.10.02 15:04:04;Buy;0.01;USDCHF;1.00094;2019.10.02 15:12:32;1.002;;;1.06
2019.10.02 11:50:15;Buy;0.01;USDCHF;0.99977;2019.10.02 15:04:02;1.00077;;;1
2019.10.01 11:47:50;Buy;0.01;USDCHF;1.00091;2019.10.02 11:50:13;0.99959;;0.05;-1.32
2019.10.01 17:37:01;Buy;0.01;USDCHF;0.99736;2019.10.02 11:50:12;0.99959;;0.05;2.23
2019.10.01 18:42:11;Buy;0.01;USDCHF;0.99382;2019.10.02 10:46:59;0.99735;;0.05;3.54
2019.10.01 09:19:23;Buy;0.01;USDCHF;0.9997;2019.10.01 11:47:48;1.00075;;;1.05
2019.09.30 20:37:45;Buy;0.01;USDCHF;0.99859;2019.10.01 09:19:20;0.99957;;0.05;0.98
2019.09.30 16:02:31;Buy;0.01;USDCHF;0.99742;2019.09.30 20:37:44;0.99842;;;1
2019.09.30 15:14:15;Buy;0.01;USDCHF;0.99613;2019.09.30 16:02:30;0.99713;;;1
2019.09.30 13:12:18;Buy;0.01;USDCHF;0.99488;2019.09.30 15:14:13;0.9959;;;1.02
2019.09.30 12:29:10;Buy;0.01;USDCHF;0.99373;2019.09.30 13:12:16;0.99473;;;1.01
2019.09.26 22:37:12;Buy;0.01;USDCHF;0.99486;2019.09.30 12:29:08;0.99354;;0.1;-1.33
2019.09.27 18:36:52;Buy;0.01;USDCHF;0.99136;2019.09.30 12:29:07;0.99354;;0.05;2.19
2019.09.26 20:58:11;Buy;0.01;USDCHF;0.99371;2019.09.26 22:37:10;0.99474;;;1.04
2019.09.26 13:09:24;Buy;0.01;USDCHF;0.99478;2019.09.26 20:58:09;0.99352;;;-1.27
2019.09.26 16:36:36;Buy;0.01;USDCHF;0.99127;2019.09.26 20:58:08;0.99353;;;2.27
2019.09.20 10:21:21;Buy;0.01;NZDCHF;0.62306;2019.09.26 14:27:30;0.62706;;0.06;4.02
2019.09.18 21:47:17;Buy;0.01;USDCHF;0.99808;2019.09.26 13:09:23;0.99457;;0.48;-3.53
