Time;Type;Volume;Symbol;Price;Time;Price;Commission;Swap;Profit
2019.11.01 03:01:37;Balance;;;;;;;;0.2
2019.10.31 13:06:20;Sell;0.1;EURUSD;1.11581;2019.10.31 16:30:51;1.11374;;;20.7
2019.10.31 13:04:22;Sell;0.1;EURUSD;1.11564;2019.10.31 13:04:47;1.11585;;;-2.1
2019.10.31 13:02:59;Sell;0.1;EURUSD;1.11556;2019.10.31 13:03:24;1.11564;;;-0.8
2019.10.31 12:58:19;Sell;0.1;EURUSD;1.11579;2019.10.31 13:01:05;1.1158;;;-0.1
2019.10.29 03:01:02;Balance;;;;;;;;0.4
2019.10.25 09:49:11;Buy;0.1;EURUSD;1.11063;2019.10.28 11:48:29;1.10953;;;-11
2019.10.25 19:35:07;Buy;0.1;EURUSD;1.10751;2019.10.28 11:48:24;1.10951;;;20
2019.10.25 03:01:24;Balance;;;;;;;;0.4
2019.10.24 10:24:57;Sell;0.1;EURUSD;1.11605;2019.10.24 11:27:37;1.11265;;;34
2019.10.23 22:14:32;Sell;0.05;EURUSD;1.11386;2019.10.24 11:27:37;1.11265;;;6.05
2019.10.23 12:44:04;Sell;0.05;EURUSD;1.11149;2019.10.24 11:27:37;1.11265;;;-5.8
2019.10.15 03:01:09;Balance;;;;;;;;0.02
2019.10.14 14:00:00;Sell;0.01;GBPUSD;1.25551;2019.10.14 17:40:01;1.26084;;;-5.33
2019.10.12 03:01:29;Balance;;;;;;;;0.4
2019.10.11 12:34:27;Sell;0.1;EURJPY;119.109;2019.10.11 13:51:32;119.495;;;-35.66
2019.10.10 16:50:55;Sell;0.05;EURJPY;118.809;2019.10.11 13:37:25;119.411;;;-27.8
2019.10.10 13:44:24;Sell;0.05;EURJPY;118.505;2019.10.11 13:37:25;119.411;;;-41.85
2019.10.11 10:44:07;Balance;;;;;;;;0.1
2019.10.10 13:32:43;Sell;0.05;GBPUSD;1.22474;2019.10.10 16:16:51;1.22268;;;10.3
2019.10.10 03:01:36;Balance;;;;;;;;0.4
2019.10.09 18:00:43;Sell;0.01;XAUUSD;1507.06;2019.10.09 19:48:11;1506.98;;;0.08
2019.10.08 13:43:45;Buy;0.1;GBPUSD;1.22258;2019.10.09 11:19:15;1.22794;;;53.6
2019.10.08 12:06:07;Buy;0.05;GBPUSD;1.22602;2019.10.09 11:19:15;1.22794;;;9.6
2019.10.07 22:43:04;Buy;0.05;GBPUSD;1.22969;2019.10.09 11:19:15;1.22794;;;-8.75
2019.10.09 03:01:10;Balance;;;;;;;;0.5
2019.10.08 17:51:11;Buy;0.1;EURJPY;117.165;2019.10.08 22:20:19;117.362;;;18.39
2019.10.08 14:11:46;Buy;0.1;EURJPY;117.468;2019.10.08 22:20:17;117.363;;;-9.8
2019.10.07 22:46:12;Buy;0.05;EURUSD;1.09748;2019.10.08 13:46:48;1.09909;;;8.05
2019.10.08 03:01:06;Balance;;;;;;;;0.2
2019.10.04 20:07:04;Sell;0.1;EURUSD;1.09854;2019.10.07 10:37:54;1.09704;;;15
2019.10.05 03:01:06;Balance;;;;;;;;0.1
2019.10.04 15:48:03;Buy;0.05;GBPUSD;1.22972;2019.10.04 19:42:38;1.23331;;;17.95
2019.10.03 23:50:43;Buy;0.05;GBPUSD;1.2333;2019.10.04 19:42:38;1.23331;;;0.05
2019.10.04 00:05:03;Buy;0.1;EURUSD;1.09671;2019.10.04 11:16:40;1.09712;;;4.1
2019.10.04 03:01:15;Balance;;;;;;;;0.2
2019.10.04 00:03:46;Buy;0.1;EURUSD;1.09675;2019.10.04 00:04:31;1.09634;;;-4.1
2019.10.04 00:03:11;Buy;0.1;EURUSD;1.09678;2019.10.04 00:03:35;1.09631;;;-4.7
2019.10.03 23:58:35;Buy;0.1;EURUSD;1.09648;2019.10.04 00:02:52;1.09628;;;-2
2019.10.03 13:00:28;Buy;0.1;EURUSD;1.09493;2019.10.03 14:45:12;1.0963;;;13.7
2019.10.03 03:01:10;Balance;;;;;;;;1
2019.10.02 13:39:17;Sell;0.1;EURUSD;1.09158;2019.10.02 13:54:01;1.09201;;;-4.3
2019.10.01 15:57:44;Sell;0.15;EURUSD;1.08937;2019.10.02 11:50:57;1.09083;;;-21.9
2019.10.01 17:01:11;Sell;0.15;EURUSD;1.09145;2019.10.02 11:50:56;1.0908;;;9.75
2019.10.01 19:17:34;Sell;0.2;EURUSD;1.09336;2019.10.02 11:50:54;1.09079;;;51.4
2019.10.01 15:54:38;Sell;0.15;EURUSD;1.08971;2019.10.01 15:57:02;1.08967;;;0.6
2019.10.01 13:23:48;Sell;0.1;EURUSD;1.09004;2019.10.01 15:57:02;1.08967;;;3.7
2019.10.01 03:01:06;Balance;;;;;;;;1.7
2019.09.30 15:08:17;Buy;0.05;EURJPY;117.793;2019.09.30 18:38:17;117.862;;;3.19
2019.09.30 15:00:17;Buy;0.15;GBPUSD;1.23099;2019.09.30 17:50:42;1.23377;;;41.7
2019.09.30 15:14:51;Buy;0.3;EURUSD;1.08871;2019.09.30 15:55:23;1.08983;;;33.6
2019.09.30 15:14:51;Buy;0.2;EURUSD;1.08871;2019.09.30 15:55:23;1.08983;;;22.4
2019.09.30 15:05:04;Buy;0.15;EURUSD;1.09096;2019.09.30 15:55:23;1.08983;;;-16.95
2019.09.30 13:26:47;Buy;0.15;GBPUSD;1.23068;2019.09.30 14:57:01;1.23096;;;4.2
2019.09.30 13:22:43;Buy;0.1;GBPUSD;1.23108;2019.09.30 13:23:54;1.23066;;;-4.2
2019.09.29 19:39:56;Balance;;;;;;;;108.48
2019.09.29 19:37:22;Balance;;;;;;;;1682.71
2019.09.27 03:01:03;Balance;;;;;;;;0.9
2019.09.26 16:58:33;Sell;0.15;EURUSD;1.09659;2019.09.26 18:16:00;1.09353;;;45.9
2019.09.26 15:23:31;Sell;0.1;EURUSD;1.09459;2019.09.26 18:16:00;1.09353;;;10.6
2019.09.26 13:43:47;Sell;0.1;EURUSD;1.09259;2019.09.26 18:16:00;1.09353;;;-9.4
2019.09.26 13:28:58;Buy;0.05;EURUSD;1.09334;2019.09.26 13:43:32;1.09252;;;-4.1
2019.09.26 07:50:24;Sell;0.05;GBPUSD;1.23716;2019.09.26 11:00:32;1.23481;;;11.75
2019.09.26 07:47:14;Sell;0.05;GBPUSD;1.23716;2019.09.26 07:47:30;1.23738;;;-1.1
2019.09.26 03:01:03;Balance;;;;;;;;0.1
2019.09.24 22:10:28;Sell;0.05;EURUSD;1.10186;2019.09.25 05:09:17;1.10051;;;6.75
2019.09.25 03:00:59;Balance;;;;;;;;0.5
2019.09.24 13:54:53;Sell;0.1;EURUSD;1.09902;2019.09.24 21:22:07;1.09996;;;-9.4
2019.09.24 15:05:51;Sell;0.1;EURUSD;1.10034;2019.09.24 21:22:03;1.1;;;3.4
2019.09.24 19:42:24;Sell;0.15;EURUSD;1.10168;2019.09.24 21:21:58;1.1;;;25.2
2019.09.24 13:51:51;Sell;0.1;EURUSD;1.09908;2019.09.24 13:52:34;1.09918;;;-1
2019.09.20 03:01:07;Balance;;;;;;;;0.2
2019.09.19 12:45:13;Sell;0.1;EURUSD;1.10655;2019.09.19 20:02:21;1.10488;;;16.7
2019.09.13 02:41:32;Balance;;;;;;;;0.1
2019.09.12 11:28:41;Sell;0.05;EURUSD;1.10279;2019.09.12 14:44:40;1.10209;;;3.5
2019.09.12 11:27:27;Sell;0.05;EURUSD;1.10281;2019.09.12 11:28:23;1.10294;;;-0.65
2019.09.12 02:40:26;Balance;;;;;;;;0.4
2019.09.10 14:16:59;Sell;0.1;EURUSD;1.1037;2019.09.11 16:40:44;1.09967;;;40.3
2019.09.10 18:15:51;Sell;0.1;EURUSD;1.10513;2019.09.11 12:06:55;1.10249;;;26.4
2019.09.10 14:11:53;Sell;0.05;EURJPY;118.587;2019.09.10 14:12:21;118.614;;;-1.26
2019.09.10 14:11:24;Sell;0.01;EURJPY;118.592;2019.09.10 14:12:13;118.613;;;-0.2
2019.09.10 14:08:26;Sell;0.05;EURJPY;118.553;2019.09.10 14:08:34;118.572;;;-0.88
2019.09.10 14:06:10;Sell;0.05;EURJPY;118.509;2019.09.10 14:06:37;118.532;;;-1.07
2019.08.31 02:40:21;Balance;;;;;;;;0.6
2019.08.30 09:18:05;Buy;0.15;EURJPY;117.414;2019.08.30 15:38:52;117.222;;;-27.11
2019.08.30 04:32:46;Buy;0.1;EURJPY;117.607;2019.08.30 15:38:52;117.222;;;-36.24
2019.08.29 19:36:16;Buy;0.05;EURJPY;117.799;2019.08.30 15:38:52;117.222;;;-27.16
2019.08.30 02:43:15;Balance;;;;;;;;0.3
2019.08.29 14:43:29;Sell;0.05;EURJPY;117.642;2019.08.29 19:35:29;117.805;;;-7.65
2019.08.29 17:37:21;Sell;0.1;EURJPY;117.905;2019.08.29 19:35:26;117.803;;;9.58
2019.08.29 13:02:01;Sell;0.05;EURJPY;117.665;2019.08.29 14:39:04;117.682;;;-0.8
2019.08.28 02:41:14;Balance;;;;;;;;0.5
2019.08.27 09:13:43;Sell;0.1;EURJPY;117.258;2019.08.27 14:45:34;117.4;;;-13.43
2019.08.27 10:59:08;Sell;0.1;EURJPY;117.459;2019.08.27 14:45:30;117.401;;;5.49
2019.08.27 12:02:37;Sell;0.15;EURJPY;117.667;2019.08.27 14:45:25;117.402;;;37.61
2019.08.27 09:10:14;Sell;0.1;EURJPY;117.282;2019.08.27 09:13:15;117.282;;;0
2019.08.27 02:40:09;Balance;;;;;;;;0.4
2019.08.26 11:12:00;Sell;0.05;EURUSD;1.11156;2019.08.26 21:47:57;1.10978;;;8.9
