Time;Type;Volume;Symbol;Price;Time;Price;Commission;Swap;Profit
2019.10.31 03:40:03;Buy;0.67;USDCHF.m;0.9871;2019.11.01 14:30:02;0.98809;;-0.34;67.13
2019.11.01 04:52:01;Balance;;;;;;;;2.48
2019.10.22 03:15:14;Sell;0.67;NZDCHF.m;0.63268;2019.10.25 11:06:03;0.6317;;-41.58;66.21
2019.10.23 09:31:19;Buy;3;EURUSD.m;1.11267;2019.10.23 13:11:49;1.11078;;;-567
2019.10.22 18:21:52;Sell;3.91;EURUSD.m;1.11397;2019.10.22 21:30:11;1.1138;;;66.47
2019.10.21 00:30:54;Buy;3.86;EURUSD.m;1.11565;2019.10.21 15:27:40;1.11629;;;247.04
2019.10.21 04:35:34;Buy;1.06;EURNZD.m;1.74405;2019.10.21 07:55:01;1.745;;;64.39
2019.10.11 08:16:17;Sell;0.68;CADCHF.m;0.75081;2019.10.18 19:20:24;0.74981;;-16.89;69.02
2019.09.25 19:00:01;Sell;0.66;USDCHF.m;0.99079;2019.10.17 14:30:53;0.98983;;-206.15;64.01
2019.10.14 10:10:35;Sell;4.04;EURUSD.m;1.10286;2019.10.16 09:16:04;1.10527;;-4.04;-973.64
2019.10.11 06:30:04;Buy;1;GBPAUD.m;1.83503;2019.10.11 07:37:28;1.83602;;;67.09
2019.10.04 09:59:30;Buy;3.91;EURUSD.m;1.09681;2019.10.09 15:42:01;1.09711;;-93.84;117.3
2019.10.04 04:01:51;Sell;3.91;EURUSD.m;1.09792;2019.10.09 08:00:35;1.09634;;-5.88;617.78
2019.10.03 14:00:03;Sell;0.9;NZDCAD.m;0.83805;2019.10.07 13:52:40;0.83706;;-14.32;66.91
2019.10.03 07:44:55;Sell;0.9;EURCAD.m;1.4591;2019.10.03 09:33:48;1.4581;;;67.6
2019.10.03 00:07:21;Sell;0.9;EURCAD.m;1.46023;2019.10.03 07:44:47;1.4594;;;56.09
2019.10.02 06:25:00;Buy;0.67;NZDCHF.m;0.62104;2019.10.02 10:30:25;0.62203;;;66.58
2019.10.01 23:30:05;Buy;0.66;NZDCHF.m;0.61963;2019.10.02 06:24:57;0.62062;;3.59;65.79
2019.10.01 09:50:04;Buy;0.67;NZDCHF.m;0.62237;2019.10.01 12:58:02;0.6234;;;68.9
2019.10.01 04:16:51;Balance;;;;;;;;9.91
2019.10.01 02:16:17;Balance;;;;;;;;69.49
2019.09.30 04:31:38;Buy;0.66;NZDCHF.m;0.62124;2019.09.30 12:14:23;0.62223;;;65.78
2019.09.27 13:15:07;Sell;0.72;CADJPY.m;81.514;2019.09.27 18:38:24;81.42;;;62.73
2019.09.27 12:34:51;Balance;;;;;;;;-11000
2019.09.26 17:15:48;Sell;0.66;NZDCHF.m;0.62588;2019.09.27 03:27:53;0.62482;;-8.17;70.43
2019.09.26 14:30:09;Sell;0.66;NZDCHF.m;0.62723;2019.09.26 17:15:35;0.62623;;;66.6
2019.09.19 14:29:57;Sell;5.19;EURUSD.m;1.10717;2019.09.23 10:31:04;1.09867;;25.95;4411.5
2019.09.18 21:38:42;Buy;5.47;EURUSD.m;1.10266;2019.09.20 18:43:04;1.09966;;-175.04;-1641
2019.09.20 03:45:08;Buy;0.66;NZDUSD.m;0.62881;2019.09.20 09:02:43;0.62981;;;66
2019.09.18 21:34:43;Sell;5.47;EURUSD.m;1.10416;2019.09.19 14:29:32;1.10723;;-8.21;-1679.29
2019.09.17 08:57:08;Buy;0.66;NZDUSD.m;0.63387;2019.09.17 18:10:40;0.63486;;;65.34
2019.09.17 06:30:03;Buy;0.66;NZDUSD.m;0.63268;2019.09.17 08:57:05;0.63368;;;66
2019.09.16 16:00:03;Sell;0.65;CADCHF.m;0.74877;2019.09.16 17:41:15;0.7478;;;63.56
2019.09.16 07:18:50;Sell;0.65;NZDCHF.m;0.63113;2019.09.16 17:41:15;0.63025;;;57.67
2019.09.16 08:10:21;Buy;5.71;EURUSD.m;1.10708;2019.09.16 13:57:57;1.10405;;;-1730.13
2019.09.06 11:07:03;Sell;2;NZDCHF.m;0.63263;2019.09.16 01:00:00;0.62942;;-198.49;650.1
2019.09.06 08:49:26;Sell;2;NZDCHF.m;0.62996;2019.09.16 01:00:00;0.62942;;-198.49;109.36
2019.09.06 07:00:09;Sell;0.64;NZDCHF.m;0.63042;2019.09.16 01:00:00;0.62942;;-63.52;64.81
2019.09.11 16:30:08;Buy;6;EURUSD.m;1.09962;2019.09.12 14:44:24;1.10182;;-252;1320
2019.09.11 12:59:31;Buy;6.43;EURUSD.m;1.10229;2019.09.11 16:28:13;1.09931;;;-1916.14
2019.09.11 12:11:00;Buy;6;EURUSD.m;1.10264;2019.09.11 14:53:27;1.09965;;;-1794
2019.09.11 10:31:35;Buy;6.61;EURUSD.m;1.10396;2019.09.11 13:53:04;1.10094;;;-1996.22
2019.09.11 08:35:01;Buy;6;EURUSD.m;1.10507;2019.09.11 11:00:56;1.10319;;;-1128
2019.09.10 10:44:43;Buy;6.66;EURUSD.m;1.10441;2019.09.11 08:29:12;1.10484;;-93.24;286.38
2019.09.09 21:33:06;Buy;6.66;EURUSD.m;1.10523;2019.09.11 08:29:12;1.10484;;-186.48;-259.74
2019.09.04 14:33:45;Sell;4;EURUSD.m;1.10132;2019.09.06 15:01:16;1.10257;;88;-500
2019.09.05 15:55:13;Sell;4;GBPJPY.m;131.735;2019.09.06 14:18:44;131.494;;-24.68;901.35
2019.09.05 14:47:06;Sell;0.69;GBPJPY.m;131.598;2019.09.06 14:18:44;131.494;;-4.26;67.1
2019.09.05 10:17:49;Sell;4;EURAUD.m;1.6188;2019.09.06 10:41:53;1.61725;;3.27;423.64
2019.09.05 18:55:24;Buy;0.2;EURUSD.m;1.10404;2019.09.06 08:02:47;1.10369;;-2.8;-7
2019.09.04 11:50:01;Sell;0.2;EURUSD.m;1.10017;2019.09.06 08:02:40;1.10385;;4.4;-73.6
2019.09.03 16:35:25;Sell;0.2;EURUSD.m;1.0946;2019.09.06 08:02:37;1.10385;;5.5;-185
2019.09.05 14:25:04;Sell;0.69;GBPJPY.m;131.734;2019.09.05 14:47:04;131.635;;;64.04
2019.09.05 08:13:28;Sell;5;EURUSD.m;1.10287;2019.09.05 10:06:22;1.10282;;;25
2019.09.05 05:52:07;Sell;0.69;CHFJPY.m;108.367;2019.09.05 09:39:53;108.268;;;64.17
2019.09.05 03:54:24;Buy;0.53;EURGBP.m;0.90146;2019.09.05 09:27:27;0.90247;;;65.38
2019.09.04 21:30:04;Sell;0.68;CHFJPY.m;108.494;2019.09.05 05:52:04;108.393;;2.88;64.42
2019.09.05 00:15:31;Buy;0.53;EURGBP.m;0.90034;2019.09.05 03:54:21;0.90134;;;64.89
2019.09.04 13:08:50;Sell;3;GBPNZD.m;1.91744;2019.09.05 00:10:59;1.92954;;5.72;-2308.57
2019.09.04 09:23:43;Buy;0.2;EURUSD.m;1.09839;2019.09.04 11:49:57;1.0999;;;30.2
2019.09.02 14:57:24;Buy;0.2;EURUSD.m;1.09689;2019.09.04 11:49:57;1.0999;;-5.6;60.2
2019.09.04 09:42:55;Sell;3;GBPNZD.m;1.91448;2019.09.04 11:07:56;1.91411;;;70.49
2019.09.04 06:52:07;Sell;2;EURUSD.m;1.09745;2019.09.04 09:41:25;1.09833;;;-176
2019.09.03 17:54:21;Sell;0.2;AUDNZD.m;1.06859;2019.09.03 23:56:11;1.06717;;;18.01
2019.09.03 14:46:33;Sell;0.2;AUDNZD.m;1.07003;2019.09.03 23:56:11;1.06717;;;36.27
2019.09.03 14:40:17;Sell;3;GBPNZD.m;1.91251;2019.09.03 23:50:43;1.90732;;;986.73
2019.09.03 14:38:55;Sell;1;GBPNZD.m;1.91272;2019.09.03 23:50:08;1.90772;;;316.8
2019.09.03 16:35:15;Sell;6.99;EURUSD.m;1.09452;2019.09.03 17:14:06;1.09752;;;-2097
2019.09.03 14:39:58;Buy;3;GBPNZD.m;1.91285;2019.09.03 14:40:13;1.91249;;;-67.94
2019.09.03 09:35:48;Sell;4;GBPNZD.m;1.90629;2019.09.03 10:31:25;1.90197;;;1086.88
2019.09.02 13:07:12;Buy;4;GBPNZD.m;1.91343;2019.09.02 14:04:37;1.91736;;;991.63
2019.09.02 11:24:56;Buy;1;GBPNZD.m;1.91867;2019.09.02 14:04:37;1.91723;;;-90.83
2019.09.02 11:55:09;Buy;2.04;GBPNZD.m;1.91605;2019.09.02 14:04:36;1.91717;;;144.12
2019.09.02 11:23:43;Buy;0.5;GBPNZD.m;1.92024;2019.09.02 14:04:35;1.91716;;;-97.14
2019.09.01 03:51:47;Balance;;;;;;;;17.71
2019.09.01 01:24:20;Balance;;;;;;;;240.5
2019.08.30 17:06:45;Balance;;;;;;;;-2000
2019.08.30 09:02:00;Buy;0.64;CADJPY.m;79.942;2019.08.30 10:28:28;80.041;;;59.49
2019.08.30 08:00:20;Balance;;;;;;;;-17500
2019.08.29 14:07:29;Sell;0.05;EURUSD.m;1.10713;2019.08.29 16:16:05;1.10664;;;2.45
2019.08.29 14:09:31;Sell;0.08;GBPNZD.m;1.92314;2019.08.29 15:11:56;1.9286;;;-27.71
2019.08.29 12:06:43;Buy;0.08;GBPNZD.m;1.92099;2019.08.29 13:37:03;1.92567;;;23.75
2019.08.29 11:04:50;Buy;0.04;GBPNZD.m;1.92657;2019.08.29 12:05:37;1.92124;;;-13.52
2019.08.29 09:48:37;Buy;0.01;EURUSD.m;1.10864;2019.08.29 12:04:16;1.10704;;;-1.6
2019.08.29 10:28:55;Buy;0.01;GBPNZD.m;1.93074;2019.08.29 10:50:39;1.9254;;;-3.38
2019.08.28 19:10:25;Buy;10;GBPNZD.m;1.93171;2019.08.28 22:19:44;1.92676;;;-3136.37
