Time;Type;Volume;Symbol;Price;Time;Price;Commission;Swap;Profit
2019.11.01 04:24:44;Balance;;;;;;;;2.9
2019.10.31 14:35:01;Buy;0.12;EURGBP.m;0.86034;2019.10.31 17:52:50;0.86212;;;27.62
2019.10.31 17:05:00;Buy;0.12;EURUSD.m;1.11383;2019.10.31 17:42:10;1.11548;;;19.8
2019.10.31 04:00:52;Sell;0.36;AUDCAD.m;0.91157;2019.10.31 11:17:07;0.90922;;;64.23
2019.10.31 02:55:00;Sell;0.32;AUDCAD.m;0.91052;2019.10.31 11:17:06;0.90921;;;31.83
2019.10.31 02:30:04;Sell;0.28;AUDCAD.m;0.90964;2019.10.31 11:17:06;0.90916;;;10.2
2019.10.31 02:02:28;Sell;0.24;AUDCAD.m;0.90855;2019.10.31 11:17:06;0.90916;;;-11.12
2019.10.30 21:12:11;Sell;0.2;AUDCAD.m;0.90753;2019.10.31 11:17:05;0.90916;;-1.37;-24.75
2019.10.30 21:01:34;Sell;0.16;AUDCAD.m;0.90658;2019.10.31 11:17:05;0.90916;;-1.09;-31.34
2019.10.30 19:05:00;Sell;0.12;AUDCAD.m;0.90556;2019.10.31 11:17:04;0.90916;;-0.82;-32.8
2019.10.30 09:55:00;Sell;0.12;AUDCAD.m;0.89895;2019.10.30 13:42:53;0.89802;;;8.53
2019.10.30 01:25:03;Buy;0.12;EURUSD.m;1.11145;2019.10.30 08:39:50;1.11114;;;-3.72
2019.10.30 02:35:00;Sell;0.12;USDJPY.m;108.826;2019.10.30 08:39:46;108.851;;;-2.76
2019.10.29 20:35:02;Sell;0.12;EURGBP.m;0.86387;2019.10.30 08:39:40;0.86345;;0.09;6.49
2019.10.30 07:50:14;Sell;0.12;USDCHF.m;0.99348;2019.10.30 08:39:36;0.99328;;;2.42
2019.10.30 01:40:01;Sell;0.12;USDCHF.m;0.99394;2019.10.30 07:49:44;0.9938;;;1.69
2019.10.30 00:02:00;Sell;0.12;AUDCAD.m;0.89796;2019.10.30 00:40:44;0.89795;;;0.09
2019.10.29 21:59:35;Sell;0.2;AUDCAD.m;0.89903;2019.10.29 23:55:31;0.89819;;;12.84
2019.10.29 18:23:05;Sell;0.16;AUDCAD.m;0.89805;2019.10.29 23:55:30;0.89819;;;-1.71
2019.10.29 17:50:00;Sell;0.12;AUDCAD.m;0.89706;2019.10.29 23:55:30;0.89821;;;-10.55
2019.10.29 13:35:00;Buy;0.12;XAUUSD.m;1488.31;2019.10.29 17:59:10;1490.49;;;26.16
2019.10.29 14:25:02;Buy;0.12;EURGBP.m;0.86202;2019.10.29 15:06:59;0.86309;;;16.5
2019.10.29 07:20:47;Sell;0.2;AUDCAD.m;0.89476;2019.10.29 13:49:04;0.89392;;;12.88
2019.10.29 04:18:54;Sell;0.16;AUDCAD.m;0.8938;2019.10.29 13:49:04;0.8939;;;-1.23
2019.10.28 18:40:01;Sell;0.12;AUDCAD.m;0.89277;2019.10.29 13:49:03;0.89387;;-0.28;-10.12
2019.10.29 11:50:03;Buy;0.12;EURUSD.m;1.10797;2019.10.29 12:59:06;1.10904;;;12.84
2019.10.28 17:05:00;Buy;0.12;XAUUSD.m;1493.27;2019.10.29 09:33:33;1493.36;;-1.68;1.08
2019.10.28 17:57:51;Sell;0.16;USDJPY.m;108.981;2019.10.29 09:33:14;108.923;;-2.35;8.52
2019.10.28 16:25:00;Sell;0.12;USDJPY.m;108.882;2019.10.29 09:33:14;108.923;;-1.76;-4.52
2019.10.28 17:05:01;Buy;0.12;EURGBP.m;0.86269;2019.10.28 21:37:43;0.86311;;;6.48
2019.10.28 17:34:29;Buy;0.16;EURGBP.m;0.86169;2019.10.28 21:37:32;0.86304;;;27.78
2019.10.28 04:11:27;Sell;0.16;USDCHF.m;0.99536;2019.10.28 10:09:07;0.99464;;;11.58
2019.10.25 22:10:00;Sell;0.12;USDCHF.m;0.99435;2019.10.28 10:09:07;0.99463;;-1.69;-3.38
2019.10.25 19:51:00;Buy;0.16;EURUSD.m;1.10747;2019.10.28 07:56:22;1.10846;;-1.28;15.84
2019.10.25 18:45:02;Buy;0.12;EURUSD.m;1.10849;2019.10.28 07:56:22;1.10846;;-0.96;-0.36
