Time;Type;Volume;Symbol;Price;Time;Price;Commission;Swap;Profit
2019.11.01 09:50:04;Correction;;;;;;;;0.74
2019.10.31 18:57:17;Correction;;;;;;;;119
2019.10.31 16:21:56;Balance;;;;;;;;-931.63
2019.10.31 12:05:00;Sell;1;RTS-12.19;143620;2019.10.31 15:41:48;143010;-4;;780.81
2019.10.31 12:16:36;Balance;;;;;;;;1024.77
2019.10.31 10:44:46;Balance;;;;;;;;-214.35
2019.10.30 17:04:00;Sell;1;RTS-12.19;142200;2019.10.31 10:00:25;143580;-4;;-1767.24
2019.10.31 09:52:19;Balance;;;;;;;;-1.48
2019.10.31 09:50:05;Correction;;;;;;;;-1.48
2019.10.30 18:51:39;Correction;;;;;;;;62.06
2019.10.30 15:45:26;Balance;;;;;;;;1.54
2019.10.30 11:48:04;Balance;;;;;;;;-63.61
2019.10.28 17:57:00;Sell;1;RTS-12.19;140470;2019.10.30 11:13:02;141860;-7.96;;-1776.32
2019.10.29 09:50:05;Correction;;;;;;;;-4.44
2019.10.28 13:33:00;Buy;1;RTS-12.19;142420;2019.10.28 17:53:26;141000;-3.98;;-1807.75
2019.10.28 10:03:26;Sell;1;RTS-12.19;142190;2019.10.28 11:40:41;141820;-3.98;;471.43
2019.10.25 18:33:00;Buy;1;RTS-12.19;141670;2019.10.28 10:00:04;142270;-3.98;;764.48
2019.10.28 09:50:05;Correction;;;;;;;;-2.96
2019.10.25 18:51:11;Correction;;;;;;;;0.01
2019.10.25 11:22:00;Sell;1;RTS-12.19;139850;2019.10.25 18:13:39;141250;-3.96;;-1790.26
2019.10.23 10:01:06;Buy;1;RTS-12.19;137490;2019.10.25 11:12:21;140470;-3.96;;3813.46
2019.10.24 09:50:04;Correction;;;;;;;;-1.48
2019.10.23 18:52:02;Correction;;;;;;;;90.09
2019.10.23 09:50:05;Correction;;;;;;;;-93.79
2019.10.21 22:43:00;Buy;1;RTS-12.19;136080;2019.10.22 23:35:01;137490;-7.67;;1795.4
2019.10.22 18:52:08;Correction;;;;;;;;0.01
2019.10.22 12:05:00;Buy;2;SBRF-12.19;23939;2019.10.22 14:33:06;23987;-3.14;;96
2019.10.22 09:41:37;Correction;;;;;;;;-1.48
2019.10.21 18:51:47;Correction;;;;;;;;-0.01
2019.10.18 19:17:00;Buy;1;RTS-12.19;134960;2019.10.21 17:04:02;135800;-3.81;;1070.76
2019.10.21 09:50:04;Correction;;;;;;;;-0.74
2019.10.17 16:31:00;Buy;1;RTS-12.19;134620;2019.10.18 17:32:10;134910;-3.79;;371.01
2019.10.18 09:50:06;Correction;;;;;;;;-1.48
2019.10.17 18:56:24;Correction;;;;;;;;0.01
2019.10.16 13:31:00;Buy;1;RTS-12.19;133530;2019.10.17 14:08:00;134650;-3.79;;1435.6
2019.10.17 09:50:04;Correction;;;;;;;;-1.48
2019.10.14 13:51:00;Buy;1;RTS-12.19;132140;2019.10.16 12:16:12;132840;-3.76;;900.17
2019.10.15 09:50:04;Correction;;;;;;;;-4.44
2019.10.14 12:25:00;Sell;2;SBRF-12.19;23204.5;2019.10.14 12:43:57;23153;-3.1;;103
2019.10.11 16:50:00;Buy;1;RTS-12.19;133720;2019.10.14 10:29:12;132380;-3.74;;-1715.94
2019.10.14 09:50:04;Correction;;;;;;;;-1.48
2019.10.09 12:48:00;Buy;1;RTS-12.19;131760;2019.10.11 16:00:08;133500;-7.5;;2234.79
2019.10.10 18:56:48;Correction;;;;;;;;0.01
2019.10.10 09:50:04;Correction;;;;;;;;-4.44
2019.10.09 12:25:00;Buy;2;SBRF-12.19;23218;2019.10.09 14:16:11;23074;-3.02;;-288
2019.10.08 18:34:00;Sell;1;RTS-12.19;129710;2019.10.09 10:41:54;131010;-7.5;;-1697.36
2019.10.09 09:50:07;Correction;;;;;;;;-2.22
2019.10.08 18:51:33;Correction;;;;;;;;3.75
2019.10.08 10:00:00;Sell;1;RTS-12.19;131560;2019.10.08 16:08:24;130360;-7.51;;1561.71
2019.10.04 09:50:05;Correction;;;;;;;;-5.92
2019.10.03 18:55:35;Correction;;;;;;;;0.01
2019.10.03 17:05:00;Sell;3;SBRF-12.19;22645.3333333333;2019.10.03 17:27:01;22782;-4.5;;-410.01
2019.10.03 10:01:00;Buy;1;RTS-12.19;130820;2019.10.03 17:07:29;129250;-3.74;;-2043.56
2019.10.03 09:50:03;Correction;;;;;;;;-4.44
