Time;Type;Volume;Symbol;Price;Time;Price;Commission;Swap;Profit
2019.10.31 17:57:08;Buy;0.01;Usa500Dec19;3024.25;2019.10.31 20:33:57;3033;;;3.93
2019.10.31 15:35:40;Buy;0.03;Usa500Dec19;3021.25;2019.10.31 15:52:52;3027.5;;;8.42
2019.10.30 00:13:12;Buy;0.01;Usa500Dec19;3036;2019.10.30 23:02:09;3049.75;;;6.17
2019.10.30 00:13:20;Buy;0.01;Usa500Dec19;3036;2019.10.30 23:02:05;3049.25;;;5.94
2019.10.30 14:37:12;Buy;0.01;Usa500Dec19;3033;2019.10.30 20:11:05;3042.25;;;4.16
2019.10.30 16:11:09;Sell;0.01;LCrudeDec19;54.85;2019.10.30 19:21:56;55.03;;;-1.62
2019.10.30 14:37:57;Buy;0.01;Usa500Dec19;3031.5;2019.10.30 18:47:37;3033.25;;;0.79
2019.10.30 16:13:20;Sell;0.01;LCrudeDec19;54.91;2019.10.30 16:42:16;54.73;;;1.62
2019.10.29 09:53:19;Buy;0.01;Usa500Dec19;3034.75;2019.10.29 15:52:30;3043.5;;;3.94
2019.10.28 15:04:24;Sell;0.01;LCrudeDec19;56.65;2019.10.28 20:43:08;55.81;;;7.57
2019.10.25 18:18:21;Buy;0.01;UsaTBDec19;159.34375;2019.10.28 09:23:16;158.65625;;;-6.2
2019.10.25 16:01:05;Buy;0.01;Usa500Dec19;3007.75;2019.10.25 17:26:33;3025.75;;;8.12
2019.10.15 16:57:40;Buy;0.01;GOLD;1480.59;2019.10.24 16:02:28;1497.67;;-0.8;15.37
2019.10.21 15:38:05;Sell;0.02;Usa500Dec19;3001.5;2019.10.24 15:07:26;3011.5;;;-8.97
2019.10.24 14:36:13;Sell;0.01;LCrudeDec19;55.76;2019.10.24 15:07:20;56.32;;;-5.03
2019.10.10 16:09:31;Sell;0.01;Usa500Dec19;2933.5;2019.10.23 18:44:49;3000;;;-29.9
2019.10.15 10:11:51;Sell;0.01;Usa500Dec19;2977.75;2019.10.22 22:36:20;2993;;;-6.86
2019.09.19 15:34:43;Buy;0.01;CottonDec19;60.74;2019.10.21 16:37:24;64.61;;;17.36
2019.10.15 17:06:43;Sell;0.01;Usa500Dec19;2999.25;2019.10.18 18:19:43;2980;;;8.64
2019.10.17 11:49:56;Sell;0.01;Usa500Dec19;3002.75;2019.10.17 17:55:27;2994.75;;;3.59
2019.10.15 17:05:25;Buy;0.01;GOLD;1479.88;2019.10.16 14:39:43;1486.8;;-0.09;6.27
2019.09.25 20:00:07;Buy;0.01;CottonDec19;60.48;2019.10.14 14:52:05;63.26;;;12.61
2019.10.10 17:27:53;Sell;0.01;Usa500Dec19;2944.75;2019.10.14 11:22:42;2960.25;;;-7.02
2019.10.11 17:49:52;Sell;0.01;Usa500Dec19;2984.75;2019.10.11 22:14:32;2971;;;6.23
2019.10.07 20:03:04;Buy;0.01;LCrudeNov19;53.02;2019.10.11 13:04:33;54.37;;;12.23
2019.10.10 10:05:47;Buy;0.01;LCrudeNov19;52.27;2019.10.10 14:14:28;53.02;;;6.8
2019.09.27 12:05:17;Buy;0.01;CottonDec19;59.89;2019.10.09 14:35:03;62.25;;;10.75
2019.10.03 16:08:24;Buy;0.05;LCrudeNov19;51.02;2019.10.07 17:01:43;52.914;;;86.19
2019.10.04 18:36:43;Buy;0.01;LCrudeNov19;52.36;2019.10.07 10:21:58;53.08;;;6.57
2019.10.02 16:07:07;Buy;0.01;Usa500Dec19;2905;2019.10.02 18:17:35;2882.25;;;-10.39
2019.10.01 16:04:52;Buy;0.01;LCrudeNov19;54.4;2019.10.02 16:33:20;52.82;;;-14.44
2019.10.01 18:14:02;Buy;0.02;LCrudeNov19;53.3;2019.10.02 16:30:11;52.96;;;-6.21
2019.10.01 15:44:00;Buy;0.01;LCrudeNov19;54.6;2019.10.02 16:30:11;52.96;;;-14.99
